draw,coefficient
112,-0.014382287685431107
113,0.011442136053193957
114,0.007301104586799787
115,-0.05505658812098046
116,-0.02401512790924805
117,0.03571449055742316
118,0.0037659274495939654
119,-0.03423710893707767
120,-0.05252649779752156
121,0.04933054135428888
122,-0.0030642605891482593
123,-0.038234448159980554
124,-0.08330782951974537
125,-0.01434802010231551
126,-0.006863230919163979
127,-0.049541290652267214
128,0.041355913321156096
129,0.020316815735161257
130,-0.04488865137490281
131,0.026788593660284715
132,-0.018544097188681725
133,-0.061072065819836256
134,-0.05019357043824568
135,0.0035600159388215263
136,-0.06336630639705859
137,0.006032105177876053
138,0.016515113345102438
139,0.0018906353339590276
140,0.0268155314017533
141,-0.007881869050500175
142,-0.06744788216773775
143,-0.06632730592539708
144,-0.007528084503953773
145,0.002127491450713458
146,-0.04609435546153587
147,-0.05298773682033819
148,-0.02837873812805285
149,0.013535972047968404
150,0.040804611154979485
151,0.010159541793413886
152,-0.04426410181988329
153,-0.019960102296447253
154,-0.03463416523178525
155,-0.08759401565750308
156,-0.05610664730339299
157,0.05849370615988365
158,0.027572630779033623
159,-0.032595866548494494
160,0.05761143612439382
161,-0.025852915040774943
162,-0.02442757954324875
163,-0.0064474406007140155
164,-0.03750867680739168
165,-0.02176050776073435
166,0.021806875525193628
167,-0.04305719769299676
168,-0.05427406958926377
169,-0.01911504951465356
170,0.018555831687748492
171,-0.02153309607872022
172,0.021969381395818676
173,-0.08247469722795846
174,0.008865249665739169
175,-0.009642784907689895
176,0.033288636323100106
177,0.02805320642890221
178,0.029363330014797018
179,0.013598917466794412
180,-0.025696083963488887
181,-0.006283059229040655
182,-0.04461414615629676
183,-0.01160358995177275
184,-0.018464529659688273
185,-0.014765411351677079
186,-0.039411464170035736
187,-0.10670421906098103
188,0.015085727645563013
189,-0.018494566911279674
190,-0.04229475229357251
191,-0.016717935489410325
192,0.011768181503717817
193,-0.018251255346667244
194,-0.07079615416327074
195,-0.07728595214530476
196,-0.04524681116546655
197,0.041613954220820176
198,-0.04973896934879822
199,-0.04293813218642914
200,-0.07527219490483159
201,0.0045784932029184966
202,-0.04022369382779273
203,-0.03130964020392627
204,-0.03352866565195331
205,-0.08123199837306637
206,-0.03533549076388937
207,0.028001417635564407
208,-0.02795019087236116
209,0.012031243415056125
210,0.012584223701382048
211,-0.01084897317540346
212,0.03226161648608463
213,0.04414380426158037
214,-0.07475278558308202
215,0.03372332403527933
216,-0.022691473296901785
217,-0.03556046624865854
218,-0.0059932548718888215
219,0.03182831146325749
220,-0.042249524757106256
221,-0.018842042902193278
222,-0.04266284854871411
223,0.0427703895687288
224,-0.006588379921020918
225,0.03206818455025581
226,-0.005772266177387199
227,-0.009206198324205175
228,0.017823710257912746
229,-0.05760593831642665
230,0.04073888184321294
231,0.006979895491736319
232,-0.05223498422413432
233,-0.01634093140355024
234,0.03288408371478674
235,0.002417578858664165
236,-0.05868912872919226
237,-0.09202677803805022
238,-0.036503740020602596
239,0.015089590891680174
240,-0.015995460647198857
241,0.006387466702311061
242,0.01506770478005977
243,-0.04684354920708714
244,0.04014761585291793
245,-0.046998117059443525
246,-0.061284304702789616
247,-7.376145686704404e-06
248,0.007689741468095599
249,-0.025316436157469313
250,0.06145113633004564
251,0.023628478860879296
252,-0.06674091547293147
253,-0.034050647091826015
254,-0.015699111143269818
255,-0.037747526965732484
256,-0.04765237203840028
257,-0.02865517274076022
258,0.014800212953089191
259,-0.06386917457102
260,-0.04377332134517032
261,-0.06625594755648664
262,-0.02534202617030171
263,-0.08694819929764769
264,0.005733233670842854
265,0.03464833543938082
266,-0.012039330358600303
267,-0.018814824795509638
268,-0.05079877301694901
269,0.012392552713142626
270,-0.027387955423063628
271,0.03452493158473774
272,0.03812848730986671
273,-0.009636705830254215
274,0.05866234061896903
275,0.00025417095009138525
276,-0.07398515486485474
277,0.011810782773221472
278,-0.04919478684263756
279,-0.030181811979283865
280,0.03764441849859979
281,0.00512150521558959
282,-0.005110738736419991
283,-0.03976216912442432
284,0.04261022693542273
285,-0.02753465672194385
286,-0.02667836826703497
287,0.034914309493079713
288,0.010323631193616001
289,-0.027351533003611036
290,-0.09900209211624743
291,-0.021196682415103127
292,-0.09316318930899833
293,-0.08917518003591472
294,-0.06378182860726606
295,-0.02467545688834706
296,-0.04626031555090445
297,-0.008557959060099965
298,0.014589091139575946
299,0.030026231121118442
300,-0.03756451358600285
301,-0.011013953356930384
302,-0.032476350459850666
303,-0.010137197786465556
304,-0.07799599320775488
305,0.009263081908519896
306,-0.05181706938502321
307,0.015427426454869785
308,0.05683761098214901
309,-0.03696549530153043
310,0.04510452256864765
311,-0.029644170716504662
312,-0.048703608903864125
313,0.024506917842392742
314,0.013839932607945344
315,0.03735972076589653
316,-0.05324475628345326
317,0.028849520262736315
318,0.03842642936202197
319,-0.03227971205347585
320,-0.004759214371806291
321,-0.014936824143582864
