draw,treated_pair_units,coefficient
222,14385,0.00018079924236700937
223,14385,0.001768302327807258
224,14385,0.0008044611687899648
225,14385,0.001552855480497508
226,14385,-0.0036121992010598684
227,14385,0.001326069325434617
228,14385,-0.002943180043624337
229,14385,0.0007250860145179508
230,14385,-0.004366263166643986
231,14385,-0.002642688388166003
232,14385,0.00048696055170191385
233,14385,0.0030156261806531686
234,14385,0.0002771833582687395
235,14385,-8.567448983188991e-05
236,14385,4.47275493292727e-05
237,14385,0.0014394624029660627
238,14385,-0.003130278621551222
239,14385,-0.004094119780568516
240,14385,-0.0023875539637202487
241,14385,0.0025563842166508094
242,14385,0.0038263866850030076
243,14385,0.003060983411665746
244,14385,0.00199508848287015
245,14385,-0.0010778639182320445
246,14385,-0.005415149133809865
247,14385,-0.002835456619969462
248,14385,-0.006174882753270557
249,14385,-0.00019339791348676227
250,14385,-0.0025349649645111283
251,14385,0.0002828530121453115
252,14385,-0.0025803221955237082
253,14385,-0.00464407620659603
254,14385,-0.002631349080412859
255,14385,-0.004417290051533138
256,14385,0.003792368761743573
257,14385,0.003962458378040742
258,14385,-0.0022401429629293683
259,14385,0.006360721967830832
260,14385,-0.009253504808249323
261,14385,0.0017739719816838293
262,14385,0.0007250860145179526
263,14385,-0.002041705077249338
264,14385,-0.001077863918232043
265,14385,-0.002931840735871192
266,14385,0.004206253494733353
267,14385,0.001138970747507731
268,14385,0.0007250860145179511
269,14385,-0.001911303038088174
270,14385,-0.0019736692307304707
271,14385,-0.003612199201059869
272,14385,-0.00466675482210232
273,14385,0.001399774825830058
274,14385,-0.00248960773349855
275,14385,0.0008158004765431088
276,14385,0.004773218882390584
277,14385,0.0035258950295446742
278,14385,-0.0062145703304065615
279,14385,0.0017966505971901195
280,14385,-0.0012876411116652196
281,14385,-0.00626559721529571
282,14385,0.0044217003420431
283,14385,0.002494018024008515
284,14385,-0.0011288908031211948
285,14385,0.002046115367759302
286,14385,-0.0042698790507422575
287,14385,-0.00017071929798047493
288,14385,0.001241024517286031
289,14385,-0.0010211673794663213
290,14385,0.001002899054469996
291,14385,0.003015626180653166
292,14385,0.0007250860145179515
293,14385,0.00036789782029389564
294,14385,-0.002041705077249337
295,14385,0.0002545047427624498
296,14385,-0.003929699818147919
297,14385,0.0014564713645957791
298,14385,0.0031346889120611853
299,14385,-0.005624926327243041
300,14385,-0.007955154070514264
301,14385,0.003990806647423605
302,14385,-0.004853853400029208
303,14385,0.007114785933414951
304,14385,0.0024713394085022237
305,14385,-0.0007433543395142779
306,14385,-0.0063903296005803035
307,14385,0.004920629883181465
308,14385,0.001172988670767165
309,14385,0.0020574546755124453
310,14385,0.0069163480477349186
311,14385,0.003690314991965271
312,14385,0.0003282102431578907
313,14385,0.0028058489872199903
314,14385,-0.0038786729332587703
315,14385,0.0053004966929118096
316,14385,0.0010028990544699958
317,14385,-0.0035158150851581408
318,14385,0.003163037181444047
319,14385,-0.0015484451899875468
320,14385,0.0006570501679990833
321,14385,0.0016152216731398052
322,14385,0.0057257207336547334
323,14385,0.00549893457859184
324,14385,-0.0014293824585795277
325,14385,0.001019908016099712
326,14385,0.0016889271735352446
327,14385,-0.0007376846856377051
328,14385,-0.004916219592671502
329,14385,-0.0018999637303350298
330,14385,0.004376343111030522
331,14385,-0.0037085833169615977
332,14385,0.00036789782029389624
333,14385,-0.001367016265937232
334,14385,0.004886611959922031
335,14385,0.0009802204389637045
336,14385,-0.002637018734289431
337,14385,-0.003481797161898705
338,14385,0.002613080755416532
339,14385,0.002278571176698766
340,14385,0.003922770800904737
341,14385,0.003123349604308041
342,14385,-0.01255891301829098
343,14385,0.004455718265302534
344,14385,0.006967374932624069
345,14385,0.0043423251877710905
346,14385,-0.00014237102859761304
347,14385,0.0005493267443442101
348,14385,-0.0054605063648224435
349,14385,-0.0037029136630850265
350,14385,-0.0011062121876149061
351,14385,-0.000800050878280002
352,14385,0.0009688811312105603
353,14385,-0.002376214655967105
354,14385,0.004654156150982565
355,14385,0.00019780820399672584
356,14385,2.7718587699556397e-05
357,14385,0.004279958995128794
358,14385,0.002545044908897666
359,14385,0.004330985880017944
360,14385,0.0033614750671240794
361,14385,-0.003958048087530781
362,14385,0.001331738979311189
363,14385,-0.0034817971618987063
364,14385,0.00333879645161779
365,14385,0.002216204984056471
366,14385,0.005464916655332407
367,14385,0.0038547349543858705
368,14385,0.009314611637525007
369,14385,-0.0028864835048586137
370,14385,-0.0017015258446549982
371,14385,0.005827774503433036
372,14385,0.0015755340960038
373,14385,0.001229685209532888
374,14385,0.0003565585125407507
375,14385,-6.299587432559935e-05
376,14385,0.0012296852095328881
377,14385,-0.0022061250396699355
378,14385,0.0020404457138827278
379,14385,-0.0009701404945771714
380,14385,0.0035372343372978192
381,14385,0.006304025429065108
382,14385,0.006808624624080047
383,14385,0.00016945993461386523
384,14385,0.0019100436747215659
385,14385,0.0015812037498803724
386,14385,0.0017172754429181061
