draw,trend_estimate,post_break_estimate
345,0.002621806553234213,-0.00977178153236793
346,0.008736087964234054,-0.0015544828587467363
347,0.0017308891217461325,-0.0033981282580702816
348,0.01179518245615873,-0.01979370623684968
349,0.02514074019111466,-0.021350047136140804
350,0.004166119898968375,-0.014221552064046815
351,0.005897201974297158,-0.0005026777677423905
352,0.008612396337745978,0.0006132550143773396
353,0.00493764733097237,-0.01796879106228029
354,-0.0034266731680481326,0.0035684530856520784
355,-0.0008479200731364191,0.027776968065965996
356,-0.0014135881066023419,0.012898129709858375
357,0.005481568448007578,0.0004824890400854931
358,0.010682516290593053,0.014300453714525263
359,0.015950834805007058,-0.009900699242252481
360,0.00925941893405887,0.0030318134251115514
361,-0.00815357357910327,0.017261720115355813
362,0.002543679533829779,0.0228968417919172
363,0.019989838172593716,-0.03552836976407987
364,-0.0022574743831579105,0.04363365552028381
365,-0.00281905186285227,0.002316096720090321
366,0.01267046440533619,-0.027285549814880503
367,0.0038591735128835833,-0.030377751486172604
368,0.012955374114233085,-0.029811642957054824
369,0.009895645255307844,-0.019879432424628973
370,0.02104635979154277,-0.015830836938210607
371,-0.0013334859191552993,-0.00414307346814145
372,-0.0014003546463957238,0.004210819440616147
373,0.014356911623458122,-0.02580426916338436
374,0.0018922162382515057,0.00583866807127021
375,0.005143658627153529,-0.02814617304730639
376,-0.0023272366265947118,0.012861563239523838
377,-0.0016959675380623616,-0.01210642794568128
378,0.021258162560581786,-0.01786343113130609
379,-0.006410167495260818,0.006309768097816269
380,0.015473764514009745,-0.03536686171919125
381,0.006969160061855313,-0.01464829326161814
382,6.0707944516921394e-05,0.004235091028996201
383,0.004354709137978438,-0.022376426373119998
384,0.002455202849751099,-0.005642347862221212
385,0.0002362482890550504,0.009118479090030909
386,0.010036817752608396,-0.013469731768142167
387,-0.011112188976879583,0.01101146694707733
388,0.008572856366576953,-0.034450966394359184
389,0.0032533051375895385,0.006397966139834087
390,-0.008118641026369862,0.017094272423467036
391,0.0073576608869017675,-0.019548060539198657
392,0.004051901365180832,0.0012374321589792708
393,0.009858527037869082,-0.016218998358461398
394,-0.0047216144440449526,-0.017483696561680626
395,0.007351402928951048,-0.00023135720296553475
396,-0.004498103504895039,-0.01521189258862557
397,0.004724946478094977,-0.0177796773277571
398,0.0023122248879661675,-0.016140075365432344
399,0.01023284270554173,-0.02604113291180713
400,-0.005614707268327971,0.015447278691886232
401,0.0024430062620150457,-0.0029237872667412478
402,-0.002749131038145955,0.004169495688967592
403,0.00014342508082779842,0.01293787507457423
404,-0.004047665457636812,0.01990030661989274
405,0.007632803441235051,-0.018463020473052677
406,0.005140480856095149,-0.01745056991736933
407,-0.003887825130513417,-0.00397340526471493
408,-0.010537585057115448,0.03524213483071644
409,0.006222507139381665,-0.008894542177347486
410,0.0053230579329261,-0.006088722232723633
411,0.0046334303591536435,-0.0012299245931778058
412,0.002684222859773093,-0.02563821267028741
413,-0.000903664981828211,0.022766215821020716
414,0.011720731810025076,-0.024874678156220947
415,0.002949271583143405,0.004674118916106869
416,0.005549062898321194,-0.012025952583745881
417,0.005170124875321421,-0.01368557091676796
418,0.008536753099776754,-0.013545894046214174
419,0.006271093567423124,-0.016948910815665155
420,0.01951773646312979,-0.02920801301979084
421,0.009536464899464307,-0.014374589597296691
422,0.007580877765335257,-0.0067641692669797235
423,0.003368462321118544,-0.028367291118620325
424,0.011458220769581674,-0.004236876671523601
425,0.004909524443787151,-0.013041580955181497
426,0.013723944890510351,-0.024879772950545456
427,0.0025322462425911426,-0.012012956905649205
428,-0.004950084597936201,0.028894946963185418
429,-0.0005635815979705121,0.004622403289280937
430,0.007239032110729649,-0.018861092491648725
431,0.0006685579478858117,0.015906609901800615
432,0.00021665749778329926,-0.01123366044296984
433,0.01167377853815714,-0.004942400713935646
434,-0.0017848109459544948,0.006631605064073422
435,0.003679595266860604,0.015482807936476911
436,0.008798465564756181,-0.012391384436707634
437,0.011035447700043721,-0.012205045766059068
438,-0.0034707921624500503,-0.0054753444591689945
439,0.0024763453859550596,-0.0037430308868893272
