NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines,EstCode
H5,840,2020,030241,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030242,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030243,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030244,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030245,      3.00,      0.00,      3.00,      1.50,0,1,0,1,2,2,U2 
H5,840,2020,030246,      3.00,      0.00,      3.00,      1.50,0,1,0,1,2,2,U2 
H5,840,2020,030247,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030249,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030251,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030252,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030253,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030254,      3.00,      0.00,      3.00,      1.50,0,1,0,1,2,2,U2 
H5,840,2020,030255,      3.00,      0.00,      3.00,      1.50,0,1,0,1,2,2,U2 
H5,840,2020,030256,      3.00,      0.00,      3.00,      1.50,0,1,0,1,2,2,U2 
H5,840,2020,030259,      3.00,      0.00,      3.00,      1.50,0,1,0,1,2,2,U2 
H5,840,2020,030271,      3.00,      0.00,      3.00,      1.50,0,1,0,1,2,2,U2 
H5,840,2020,030272,      3.00,      0.00,      3.00,      1.50,0,1,0,1,2,2,U2 
H5,840,2020,030273,      3.00,      0.00,      3.00,      1.50,0,1,0,1,2,2,U2 
H5,840,2020,030274,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030279,      3.00,      0.00,      3.00,      1.50,0,1,0,1,2,2,U2 
H5,840,2020,030281,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030282,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030283,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030284,      3.00,      0.00,      3.00,      1.50,0,1,0,1,2,2,U2 
H5,840,2020,030285,      3.00,      0.00,      3.00,      1.50,0,1,0,1,2,2,U2 
H5,840,2020,030289,      3.00,      0.00,      3.00,      1.50,0,1,0,1,2,2,U2 
H5,840,2020,030291,     15.00,      0.00,     15.00,      7.50,0,1,0,1,2,2,U2 
H5,840,2020,030292,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030299,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030311,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030312,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030313,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030314,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030319,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030323,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030324,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030325,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030326,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030329,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030331,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030332,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030333,      0.20,      0.20,      0.20,      0.20,0,0,1,0,1,1,U2 
H5,840,2020,030334,      0.17,      0.17,      0.17,      0.17,0,0,1,0,1,1,U2 
H5,840,2020,030339,      0.57,      0.57,      0.57,      0.57,0,0,1,0,1,1,U2 
H5,840,2020,030341,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030342,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,030343,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
