draw,estimate
357,0.014186410160104555
358,0.041006744441005744
359,0.02997638777026417
360,0.026180360760259078
361,-0.0031222138324023653
362,0.02925604062648984
363,0.014446225667403632
364,0.037989969562389196
365,-0.004731532937040395
366,0.004390611198460019
367,-0.02072981770396275
368,0.0025767923285276014
369,0.004859680713640308
370,0.0367850625406471
371,-0.007476788266029842
372,0.0007099328246267612
373,0.010088009895260042
374,0.010569208666898207
375,-0.015287026479422698
376,0.007043471673036758
377,-0.016346346790837588
378,0.035281975270146426
379,-0.00971565064033448
380,0.0033175495658332986
381,0.0027746068930198232
382,0.00438686089028813
383,-0.01148965352817274
384,0.0004956592621560235
385,0.00970909981266817
386,0.011622312613379152
387,-0.016769005495121187
388,-0.013018825477916761
389,0.014531228983808544
390,-0.00320233014245769
391,-0.0011539083219439773
392,0.011367185571930415
393,0.008427319236210887
394,-0.029287732671791453
395,0.018147150119412148
396,-0.026457151350862695
397,-0.005967311132519438
398,-0.010359513145516336
399,-0.00045902614795284834
400,0.0014105105210663914
401,0.0031837283882956667
402,-0.0027033319063973
403,0.013296437776642784
404,0.009781142975800414
405,0.0006189881300348763
406,-0.0045993677771316195
407,-0.01369296809099792
408,0.008898172187927864
409,0.006661725671106245
410,0.007218922599591343
411,0.010353651304705827
412,-0.0189276555208538
413,0.020507053366448945
414,0.004427151368841766
415,0.012047297873965074
416,0.0018467046620572135
417,-0.0007602587284646039
418,0.007795988703227451
419,-0.0012711768971070182
420,0.019586328138033886
421,0.009466572651363492
422,0.012188025146358855
423,-0.019946135315823236
424,0.024408675252431407
425,-0.0007677698457133951
426,0.009430089275729539
427,-0.005682341299171112
428,0.016519735468345478
429,0.0032134492943544433
430,-0.0007635122148246378
431,0.017578004771515714
432,-0.010692016698511123
433,0.024242045631456596
434,0.002169577699187192
435,0.02468179610362906
436,0.00960477947518303
437,0.01538357348404936
438,-0.014152324865292856
439,0.002447832577998177
440,-0.0118955382895965
441,0.006310764516666515
442,0.01590966700608131
443,0.009132570608396607
444,0.004126526965238674
445,-0.03629798320511062
446,-0.004495634379606234
447,0.010683037904482348
448,0.0002924715730809909
449,0.011890568714151676
450,0.017711330437675685
451,0.00978884782207244
452,0.022065616894078856
453,0.005549516141285732
454,0.002251348168943851
455,0.015122628128438285
456,0.02322873943727033
457,0.009146841987804187
458,-0.004312510879907138
459,-0.027735176694307754
460,3.8296082077974504e-05
461,-0.00736724183276553
462,-0.0001319342954892466
463,0.0015372703817923149
464,0.012654932207118977
465,0.018425514949051328
466,0.015707166348038124
467,0.012274142877406571
468,-0.021953861352248912
469,7.84480150197085e-06
470,0.013339472961112377
471,0.021976519305154624
472,-0.0016149348247885636
473,0.011894826742729082
474,0.028315854417881987
475,0.01298919401993703
476,0.008984315793010272
477,0.027444455260856065
478,-0.003358159422854207
479,0.016321382784353366
480,0.016287603914097993
481,0.0009227454719424603
482,-0.0030805368881550678
483,0.018511325811041892
484,0.01693855628629961
485,0.006971633715929908
486,0.009762446408769653
487,0.021113487038273777
488,0.00613508440323835
489,-0.01289732319774129
490,-0.016026766125025755
491,0.005898319212732301
492,-0.016049331512115655
493,-0.011787340880446346
494,-0.005234629661682833
495,0.010271714443612199
496,0.0004344499590438296
497,0.011842888209669538
498,0.005118506967711377
499,0.002093816950415815
500,-0.0030713046872413293
501,-0.0033790537581961876
502,0.023296006773495186
503,0.013007154924525066
504,-0.018330774232392034
505,-0.0004425214987768651
506,-0.01841868983505792
507,-0.005006461526745944
508,0.002903717687838912
509,-0.003664208126300711
510,-0.01644779044564
511,-0.0031905838011579654
512,-0.004383229788119023
513,0.0016231485431408147
514,0.0010188432539308184
515,-0.011192880489168463
516,-0.0023278853712684457
517,0.0005031331959127423
518,-0.008712669771240349
519,-0.008145283071029939
520,0.008213022803661136
521,-0.011879287892883512
522,-0.008843665261685642
523,-0.011582327360985682
524,0.0285406558183709
525,0.0045997765176234075
526,0.010680037420929033
527,-0.012645682622594745
528,0.004737715880997027
529,-0.01135632882794645
530,-0.011212841834930206
531,0.0056329621525178
532,0.0008058913649207582
533,-0.018102393139659122
534,0.0026881837874370693
535,0.029326610398740557
536,-0.0015963235257611507
537,-0.021805940323713916
538,-0.009986740296379767
539,0.013987612014871894
540,0.002514105725176857
541,-0.008801964814918593
542,0.025065545507888764
543,0.004679202046044952
544,0.03616964883943263
545,-0.014471073506331044
546,0.024202365751773723
547,-0.005656736286609752
548,0.019388842970932345
549,0.014967123857502986
550,0.003034148085770759
551,-0.009168272151921179
552,0.005230660878687057
553,-0.009386171104925978
554,0.0027821237622552577
555,0.025531255949883515
556,0.00047841442231744456
557,0.0169305215605558
558,0.012250655710745727
559,0.007083983487652155
560,0.013094202655137558
561,0.01665395238916139
562,-0.003774842983236441
563,0.0049316816481171375
564,-0.010993396523926472
565,-0.010438462694766216
566,0.021731283421188217
567,0.001666749661616028
568,0.007756976127824009
569,-0.0029519798108687146
570,-0.004274206962001831
571,0.0067910037073670056
572,-0.017090500508643115
573,0.012003269671131469
574,0.03407313713394032
575,0.021797614944451444
576,0.004317423028031437
577,0.007341716643890921
578,0.012721842306952611
579,-0.009063767460774056
580,0.0026729366072131226
581,-0.01189448456903028
582,-5.000658785095929e-05
583,0.015794624751697125
584,-0.005038362744300405
585,-0.012663005712781304
586,0.009772642367007823
587,0.007947938869801592
588,0.023254515069319782
589,-0.011205349052896463
590,0.01765377299314828
591,-0.0062184798631843416
592,-0.009465678924212297
593,0.009545118638787155
594,-0.018532778121009733
595,0.014122277110941663
596,0.002948171825200968
597,0.01168602784630808
598,-0.02202472214675783
599,0.021019177775715516
600,0.019007331414084252
601,0.024091264935467344
602,0.013183022391272108
603,0.005204014939911526
604,-0.008169747442953621
605,-0.010541603862714799
606,-0.009688423983059647
607,-0.0011291404494359375
608,0.016866060486541552
609,0.00991940284809291
610,0.015055510658909355
611,0.007032425602806507
612,0.013474495055593613
613,0.010676423202972381
614,0.010565373219766208
615,0.004404456582981725
616,0.0036239075441275785
617,0.01254448351726742
618,-0.013075756385111882
619,-0.003324480275332321
620,0.0030496073475005446
621,-0.005831594647020655
622,0.007270219302136324
623,0.002340420674820141
624,-0.016590706837765683
625,-0.020543188579821882
626,0.010573121666131807
627,0.013400484843024004
628,-0.005624187007115169
629,0.014274494414732965
630,-0.0015878154589872332
631,-0.004213929019934859
632,0.006929674485534958
633,-0.0046548509492312625
634,-0.004044129943145296
635,-0.02507350553144629
636,-0.011288516923153429
637,-0.011555907925889727
638,0.016334931528571153
639,-0.00480109163673053
640,-0.028060713694322954
641,-0.013423907039363091
642,-0.0020356779258459807
643,0.004780657953946327
644,0.001419891768561824
645,-0.010612122025550227
646,0.008405314297069807
647,0.009371280431975593
648,0.011946084520799788
649,0.017685994543667375
650,0.00407486203574266
651,0.021290087533968036
652,0.004962036809741842
653,-0.003641313848010613
654,0.002512182298003042
655,0.0016983469272104604
656,-0.0019439933206189244
657,-0.011427881761632607
658,0.012863660774628406
659,0.006482019554896014
660,-0.005398725373178337
661,-0.00117076449890229
662,0.027686292684086202
663,0.011851473680889082
664,-0.016206745037116936
665,0.042528024973110964
666,-0.0014268386288751435
667,0.016618022406478895
668,0.008124851529707901
669,-0.010773737039482168
670,-0.00042184062341172886
671,0.0023781554731076657
672,-0.006283009874105702
673,0.004032441963821576
674,0.014777201288198734
675,-0.011351225551542766
676,0.00433658393890413
677,0.003600226486707829
678,-0.024543545849408908
679,0.0022197238153541495
680,-0.014245110097791834
681,-0.019401273698747237
682,-0.01973402406311882
683,-0.005359604435778206
684,0.00010995604349081856
685,0.029171751924572945
686,-0.012181804745654475
687,0.021659496613280683
688,0.017316920292449436
689,-0.014714800116939184
690,-0.005745884815050334
691,-0.00530958240174044
692,0.015120773834679828
693,0.0017978097392612308
694,-0.014066162170620572
695,-0.0017156606847568028
696,0.028199984494622094
697,0.0028951730805718543
698,0.030776105499573048
699,0.016126342371148242
700,0.010041620492200429
701,0.009373481809816377
702,0.024950520513372456
703,0.01677928510698911
704,-0.005717020461467006
705,-0.005432732483545342
706,0.009797218434420961
707,-0.02340849079322715
708,0.005407742386058007
709,0.016765009040746886
710,-0.002415691673486736
711,0.017061671341066214
712,0.001243771392051959
713,0.023400005053545916
714,-0.01291160311778501
715,0.013007497300533459
716,-0.019530996809134768
717,-0.005008967024297185
718,-0.007618678321484075
719,0.0008788685389821725
720,-0.013323928648201028
721,-0.007365745253721715
722,-0.011907635021270308
723,-0.0019002124746998203
724,0.018018627490733363
725,-0.020755660984979066
726,0.00544562541941893
727,-0.0007985538483446781
728,-0.006805826555915325
729,0.00700908128176736
730,-0.01529713332617923
731,0.02740694427238726
732,0.004455078128263509
733,-0.0019459444999024422
734,-0.01451967845449729
735,-0.004644598384242385
736,0.010128336301188909
737,0.002550618883251303
738,0.024639702016587176
739,0.0007322793932165801
740,0.01490401697982803
741,-0.019561110597509437
742,-0.012665771214531206
743,0.030947862820120367
744,0.010277127828325225
745,0.023998956561913955
746,0.030898806133302825
747,0.0027558429313161137
748,-0.012375875165502941
749,-0.011901968282843631
750,-0.014463390967933242
751,0.02843332363347014
752,0.008439468367689525
753,-0.0030382295361474406
754,-0.009341668359411678
755,-0.005302856077906881
756,-0.007122376769162366
757,0.016883314026446813
758,-0.006183334750222949
759,0.007427951124215096
760,0.008545660757149664
761,0.016344464994120705
762,-0.02259380554857763
763,-0.004644469165187051
764,0.009002260492892001
765,-0.012068324263325455
766,-0.01510463674754052
767,0.012529111477056789
768,0.021749371927122296
769,-0.004549225235186166
770,0.023331372778637737
771,0.00981753909462138
772,0.02173993554091648
773,0.039447045705852654
774,0.008185417845094748
775,-0.013381999697674474
776,-0.00939561657013591
777,0.03445262882257675
778,0.004434663487181613
779,0.01455482600534923
780,0.007185069774937336
781,0.010816186025183623
782,0.004506590235412269
783,0.010467308855979237
784,0.011982700299652984
785,0.0006815088481687353
786,0.028076795299509016
787,-0.011787827918951057
788,-0.010056882835787102
789,0.012098324335313502
790,-0.004391308387759104
791,0.0052252220281063105
792,0.01369981347894756
793,0.012227902544472497
794,0.027323810387609296
795,-0.007826672333381584
796,0.010891225360664622
797,0.02037888792365262
798,0.015723736558114817
799,0.011615789061128775
800,0.01851972147193179
801,-0.012489539417800719
802,0.003881961669057081
803,0.0003032302455583258
804,-0.013590152988498605
805,-0.01575506642950546
806,0.01186610549800404
807,0.010337654623760472
808,0.004499565365157256
809,-0.0035056459044425004
810,0.007380280283958007
811,0.013317081711569546
812,-0.020751458658784815
813,0.03468116587481011
814,-0.0033450759264278267
815,-0.007113969969255497
816,-0.006092141557484821
817,0.0006762614071919187
818,0.01728630305745968
819,-0.010855076750111874
820,-0.020042137717007844
821,-0.009426040016251731
822,0.003863595474582524
823,-0.015378015809018932
824,-0.020742362549966968
825,0.0017959749053299365
826,-0.014314787190117164
827,0.009107004056285456
828,0.009875924616563862
829,-0.009894110407852682
830,0.013876408562989795
831,-0.00689300582683128
832,0.02357698845324657
833,0.004812994082833115
834,-0.035322922333321925
835,0.013612438690620392
836,0.009714656834994905
837,0.00611584682303504
