draw,beta,std_error,t_stat
225,0.004301630925566336,0.004510836871054769,0.95362147834898
226,-0.0006869010558856057,0.004754224498972001,-0.14448225068760073
227,0.004452716434977876,0.004489895352317716,0.9917194245249731
228,0.0065830661725980125,0.004338156767961997,1.5174800093014253
229,-0.0032157638698510423,0.004524411667038013,-0.7107584602168395
230,-0.005589476093909389,0.004444976049362579,-1.257481712350494
231,0.0036008871290319983,0.004671322611030042,0.7708495920469066
232,0.002509756436344755,0.004638069786036294,0.541120886947585
233,0.005142262573690656,0.004281155391160827,1.201138969238942
234,0.0005170585848040896,0.004740113005667614,0.10908148902480973
235,-0.006686695347336682,0.004438320586522797,-1.5065823247741945
236,0.008888895267932831,0.003866913469762177,2.2987055018015483
237,-0.003438198611282838,0.004630243482397147,-0.742552443376656
238,0.0072479298532870315,0.00437318640035811,1.6573567165336278
239,-0.0019442230574868487,0.0046700255695944996,-0.41631957438204487
240,-0.002952745140414204,0.004632439043694832,-0.6374061509634232
241,0.0007999779874992446,0.00477097963850411,0.16767583350032264
242,-0.003989107511562913,0.004434662041487403,-0.8995290902088564
243,-0.003916380119576291,0.00461145520087973,-0.8492720733423066
244,-0.0044333043251766156,0.004680738167324577,-0.9471378587515844
245,-0.0030803462064924432,0.004577823037305521,-0.6728845089445652
246,0.004966809463466105,0.004511431551001515,1.100938672640062
247,0.004338341905355296,0.004527236599280782,0.9582759394648174
248,-0.001248162503192156,0.004685489120711454,-0.26638894489688464
249,0.007916468661202894,0.004028575580905947,1.9650788478995438
250,-0.0025658848876604404,0.0045973791516087876,-0.5581190506688023
251,0.006124039967958241,0.0042856438636373695,1.4289661397017164
252,-0.0016736515913467103,0.0047260559586454675,-0.3541328342261937
253,0.0059413719098076485,0.004318828620626527,1.3756905938411006
254,-0.00593883756651457,0.004319007145460298,-1.3750469416928086
255,-0.004918214050964567,0.004628659245397374,-1.0625569501265664
256,-0.0013764800435802137,0.004695319940261375,-0.2931600106261532
257,0.006725910525540939,0.004159940102248139,1.6168286946982924
258,0.003507097794670399,0.0046190334105192165,0.7592709302953868
259,-0.007382572356148974,0.004325040346457426,-1.7069372224922539
260,0.0023545426031935015,0.004645909679551642,0.5067990481082123
261,-0.0022256752624184428,0.004689536215242618,-0.4746045579484442
262,0.003205827951474585,0.004539211989174201,0.7062520893759374
263,0.0012354769639968328,0.004703084074881058,0.26269506228805367
264,-0.00460415407331628,0.0044508993401703,-1.0344323071435977
265,0.0027485424595790047,0.004745016175241458,0.5792482803157443
266,0.004977577120847443,0.004341126508650861,1.1466095519050834
267,-0.004837034017031052,0.004592921600402266,-1.0531497024916354
268,0.0021836042990267,0.004631272781602428,0.47149118654832706
269,0.0022541735517449075,0.004653593452644604,0.48439417295120113
